"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 20, 2017","7,487.87","7,430.91","7,502.73","7,430.91","728.09M","0.77"
"Jul 19, 2017","7,430.91","7,390.22","7,442.84","7,379.33","660.42M","0.55"
"Jul 18, 2017","7,390.22","7,404.13","7,418.53","7,357.77","634.51M","-0.19"
"Jul 17, 2017","7,404.13","7,378.39","7,426.37","7,378.30","613.97M","0.35"
"Jul 14, 2017","7,378.39","7,413.44","7,419.81","7,363.77","852.44M","-0.47"
"Jul 13, 2017","7,413.44","7,416.93","7,428.24","7,403.75","970.71M","-0.05"
"Jul 12, 2017","7,416.93","7,329.76","7,439.08","7,329.76","821.52M","1.19"
"Jul 11, 2017","7,329.76","7,370.03","7,386.88","7,304.77","683.49M","-0.55"
"Jul 10, 2017","7,370.03","7,350.92","7,388.02","7,344.31","615.60M","0.26"
"Jul 07, 2017","7,350.92","7,337.28","7,359.48","7,314.69","690.33M","0.19"
"Jul 06, 2017","7,337.28","7,367.60","7,373.85","7,303.46","791.24M","-0.41"
"Jul 05, 2017","7,367.60","7,357.23","7,386.92","7,347.52","952.88M","0.14"
"Jul 04, 2017","7,357.23","7,377.09","7,383.45","7,336.75","600.30M","-0.27"
"Jul 03, 2017","7,377.09","7,312.72","7,386.11","7,312.26","726.60M","0.88"
"Jun 30, 2017","7,312.72","7,350.32","7,377.38","7,302.71","1.01B","-0.51"
"Jun 29, 2017","7,350.32","7,387.80","7,451.95","7,341.75","959.17M","-0.51"
"Jun 28, 2017","7,387.80","7,434.36","7,445.31","7,381.36","859.43M","-0.63"
"Jun 27, 2017","7,434.36","7,446.80","7,451.68","7,411.36","725.03M","-0.17"
"Jun 26, 2017","7,446.80","7,424.13","7,480.95","7,424.13","714.44M","0.31"
"Jun 23, 2017","7,424.13","7,439.29","7,441.79","7,396.75","627.79M","-0.20"
"Jun 22, 2017","7,439.29","7,447.79","7,448.48","7,398.83","813.13M","-0.11"
"Jun 21, 2017","7,447.79","7,472.71","7,477.17","7,417.45","869.74M","-0.33"
"Jun 20, 2017","7,472.71","7,523.81","7,561.07","7,472.71","1.04B","-0.68"
"Jun 19, 2017","7,523.81","7,463.54","7,537.84","7,463.54","568.21M","0.81"
"Jun 16, 2017","7,463.54","7,419.36","7,478.99","7,419.36","1.95B","0.60"
"Jun 15, 2017","7,419.36","7,474.40","7,474.51","7,377.86","1.01B","-0.74"
"Jun 14, 2017","7,474.40","7,500.44","7,545.07","7,474.40","972.22M","-0.35"
"Jun 13, 2017","7,500.44","7,511.87","7,540.05","7,491.86","782.43M","-0.15"
"Jun 12, 2017","7,511.87","7,527.33","7,540.53","7,483.61","712.64M","-0.21"
"Jun 09, 2017","7,527.33","7,449.98","7,545.12","7,449.73","1.11B","1.04"
"Jun 08, 2017","7,449.98","7,478.62","7,489.66","7,449.98","893.77M","-0.38"
"Jun 07, 2017","7,478.62","7,524.95","7,555.62","7,476.33","901.56M","-0.62"
"Jun 06, 2017","7,524.95","7,525.76","7,527.64","7,502.83","867.65M","-0.01"
"Jun 05, 2017","7,525.76","7,547.63","7,562.00","7,519.06","624.06M","-0.29"
"Jun 02, 2017","7,547.63","7,543.77","7,598.99","7,539.96","823.79M","0.05"
"Jun 01, 2017","7,543.77","7,519.95","7,558.63","7,518.32","884.73M","0.32"
"May 31, 2017","7,519.95","7,526.51","7,586.45","7,519.68","1.89B","-0.09"
"May 30, 2017","7,526.51","7,547.63","7,547.65","7,497.07","760.55M","-0.28"
"May 26, 2017","7,547.63","7,517.71","7,554.21","7,514.39","797.46M","0.40"
"May 25, 2017","7,517.71","7,514.90","7,529.74","7,497.07","638.44M","0.04"
"May 24, 2017","7,514.90","7,485.29","7,519.58","7,475.11","848.44M","0.40"
"May 23, 2017","7,485.29","7,496.34","7,521.94","7,485.29","699.94M","-0.15"
"May 22, 2017","7,496.34","7,470.71","7,518.12","7,470.71","691.51M","0.34"
"May 19, 2017","7,470.71","7,436.42","7,480.28","7,436.42","845.28M","0.46"
"May 18, 2017","7,436.42","7,503.47","7,503.68","7,389.26","1.01B","-0.89"
