,BLND.csv,MNDI.csv,MKS.csv,NMC.csv,SLA.csv,RRS.csv,CCH.csv,SVT.csv,III.csv,BARC.csv,SBRY.csv,TSCO.csv,SGE.csv,IAG.csv,OML.csv,RR..csv,GKN.csv,RDSA.csv,BP..csv,DCC.csv,INF.csv,GSK.csv,MDC.csv,ITV.csv,LAND.csv,RB..csv,EZJ.csv,CNA.csv,AAL.csv,UU..csv
606,607.0,2018.0,321.1,2221.0,431.0,6885.0,2213.0,2165.0,934.0,209.7,245.1,174.0,700.5,585.5,194.1,925.0,326.7,2079.5,446.45,6800.0,694.0,1586.0,738.0,175.9,1068.0,7533.0,1271.0,202.1,1171.5,873.5
607,609.5,2051.0,323.2,2250.0,430.0,6915.0,2250.0,2185.0,935.0,211.2,248.5,173.8,692.0,591.5,197.3,921.0,330.0,2086.0,445.15,6820.0,700.5,1545.5,747.0,180.2,1067.7,7544.0,1279.0,202.1,1195.0,884.5
608,617.0,2043.0,325.1,2299.0,434.3,7010.0,2281.0,2189.0,932.5,208.6,249.1,175.7,684.5,594.0,196.9,931.5,323.0,2097.0,444.7,6775.0,702.0,1531.0,761.5,177.4,1097.0,7456.0,1282.0,201.9,1233.5,883.5
609,607.0,2003.0,323.4,2260.0,432.7,7050.0,2285.0,2152.0,925.0,205.1,246.7,173.3,677.0,593.5,194.8,929.0,322.2,2115.5,443.65,6685.0,697.0,1518.5,760.0,173.7,1083.0,7351.0,1275.0,201.4,1232.0,871.5
610,610.5,1995.0,322.2,2263.0,436.4,7060.0,2292.0,2240.0,936.0,203.0,244.8,174.2,674.0,578.0,196.5,888.0,321.5,2133.0,445.8,6665.0,695.5,1514.5,740.0,173.0,1089.0,7369.0,1236.0,198.5,1252.5,897.5
611,611.0,1999.0,324.1,2250.0,437.4,7040.0,2299.0,2229.0,940.0,206.6,248.3,175.95,682.5,597.5,197.4,979.0,322.9,2134.5,456.45,6855.0,701.5,1516.5,725.0,171.5,1087.0,7386.0,1254.0,203.0,1236.0,893.0
612,613.0,2002.0,325.2,2226.0,440.1,6995.0,2289.0,2240.0,947.0,207.7,249.8,178.2,677.0,596.5,203.0,943.0,320.7,2158.5,459.3,6890.0,702.0,1517.0,730.5,175.8,1079.0,7387.0,1256.0,202.2,1227.5,898.0
613,616.5,1948.0,329.2,2225.0,446.0,7235.0,2305.0,2268.0,949.0,208.5,252.3,180.0,680.0,607.5,205.0,955.0,323.9,2175.5,460.6,6955.0,707.5,1528.0,726.5,176.0,1094.0,7456.0,1263.0,202.4,1254.5,911.0
614,612.5,1978.0,330.5,2220.0,447.1,7100.0,2348.0,2272.0,951.5,210.35,252.5,180.15,689.0,617.5,204.8,962.0,324.9,2183.0,463.3,6955.0,710.5,1534.0,756.0,175.5,1087.0,7507.0,1265.0,199.7,1270.5,914.0
615,613.5,1994.0,328.4,2220.0,443.3,7230.0,2390.0,2281.0,951.0,210.0,250.0,179.45,686.0,621.5,206.6,957.0,325.1,2197.5,468.45,6940.0,712.5,1526.5,737.5,174.7,1089.0,7486.0,1279.0,196.6,1310.0,917.5
616,617.0,2005.0,331.7,2213.0,442.1,7180.0,2391.0,2284.0,954.5,210.35,246.2,179.45,686.5,625.0,206.4,950.0,327.4,2213.5,471.15,6985.0,710.5,1534.0,728.0,175.0,1091.0,7420.0,1279.0,197.1,1312.0,920.0
617,618.0,1984.0,332.5,2214.0,435.4,7380.0,2373.0,2293.0,954.0,208.75,245.8,180.15,688.5,614.0,204.0,940.5,322.0,2213.0,468.85,6835.0,709.5,1508.5,736.0,171.5,1090.0,7399.0,1276.0,197.0,1306.0,928.5
618,614.0,1988.0,328.9,2178.0,426.8,7475.0,2592.0,2286.0,947.5,204.8,243.7,177.0,678.0,611.5,201.5,919.0,317.7,2163.5,457.75,6815.0,703.5,1483.5,738.5,169.2,1078.0,7311.0,1257.0,199.2,1277.5,934.5
619,605.0,1995.0,327.1,2183.0,410.8,7475.0,2592.0,2267.0,940.0,199.35,241.6,177.2,673.5,603.5,195.3,910.0,315.8,2135.0,447.75,6885.0,699.5,1475.0,736.0,169.4,1071.0,7352.0,1252.0,198.4,1238.5,922.0
620,616.0,2004.0,323.5,2283.0,424.0,7435.0,2566.0,2282.0,934.5,199.8,240.1,176.25,680.0,613.0,197.5,903.5,316.7,2135.0,446.1,6905.0,702.0,1480.5,744.5,169.1,1084.0,7421.0,1265.0,200.0,1256.5,928.5
621,620.0,2006.0,322.9,2317.0,427.7,7200.0,2561.0,2269.0,942.0,200.45,241.8,177.2,683.0,631.0,202.0,910.0,314.6,2126.0,444.1,6850.0,703.0,1494.5,738.0,169.9,1088.0,7395.0,1322.0,201.0,1241.5,918.0
622,624.5,2043.0,324.8,2388.0,435.9,7275.0,2575.0,2247.0,960.0,200.75,242.6,180.1,704.0,630.5,208.7,913.0,320.7,2127.0,445.45,6965.0,707.5,1504.0,741.5,169.5,1098.0,7406.0,1326.0,204.6,1286.5,909.5
623,623.5,2061.0,319.1,2326.0,431.4,7405.0,2593.0,2248.0,953.5,197.25,239.7,178.85,700.0,624.0,206.3,911.5,319.1,2125.0,443.2,6955.0,711.5,1506.0,731.0,169.4,1091.0,7354.0,1301.0,204.2,1279.0,904.5
624,611.0,2068.0,317.1,2330.0,431.6,7495.0,2554.0,2221.0,940.5,195.65,237.1,176.55,694.0,611.5,203.7,901.0,315.7,2114.5,440.0,6815.0,697.0,1490.0,720.5,166.7,1069.0,7257.0,1290.0,201.6,1280.0,897.5
